episode,reward,length,collision,coverage,total_collision,total_coverage
0,-109.40969711414073,97,1,0.08149339305213785,1.0,0.08149339305213785
1,-145.38446399918757,199,0,0.4716028920567543,1.0,0.5530962851088922
2,5.573558356612921,79,1,0.04979218158258302,2.0,0.6028884666914752
3,4.139856830239296,80,1,0.05711170566138115,3.0,0.6600001723528564
4,-283.1349985599518,104,1,0.15263753254233542,4.0,0.8126377048951918
5,-52.67986342601944,199,0,0.48304728246400847,4.0,1.2956849873592002
6,-545.9394246637821,199,0,0.4928967897747162,4.0,1.7885817771339165
7,44.8323986409232,199,0,0.11348811772867858,4.0,1.9020698948625951
8,2.072561626089737,79,1,0.10210247461779494,5.0,2.00417236948039
9,29.370377621031366,199,0,0.15272848020497512,5.0,2.156900849685365
10,5.521733298897743,79,1,0.062403251060487955,6.0,2.219304100745853
11,4.421981707215309,72,1,0.05243791368273934,7.0,2.2717420144285927
12,6.004944682121277,72,1,0.03470480575190383,8.0,2.3064468201804966
13,12.548221498727798,80,1,0.0028841171872991582,9.0,2.309330937367796
14,-539.1248636245728,199,0,0.20917017001481986,9.0,2.518501107382616
15,-27.02678142709192,199,0,0.3793555863671093,9.0,2.897856693749725
16,-190.41442261915654,152,1,0.18634907550131374,10.0,3.0842057692510387
17,30.144579265266657,199,0,0.09910420898241386,10.0,3.1833099782334524
18,26.421774324029684,199,0,0.1582277693162048,10.0,3.341537747549657
19,51.47619406878948,199,0,0.004829480337936557,10.0,3.3463672278875936
20,-304.8874456882477,117,1,0.04250531822809612,11.0,3.3888725461156897
21,39.34912991523743,199,0,0.07080405084462718,11.0,3.4596765969603167
22,1.7690894937259145,199,0,0.2662852299490933,11.0,3.72596182690941
23,-511.2346339225769,199,0,0.06901826256899735,11.0,3.7949800894784076
24,13.371615344026395,199,0,0.17768532020816594,11.0,3.9726654096865737
25,-5.2601302622351795,79,1,0.21153902283283532,12.0,4.184204432519409
26,-364.24313259124756,136,1,0.12534206921235003,13.0,4.309546501731759
27,57.374789759516716,199,0,0.00364721866068478,13.0,4.313193720392444
28,-524.7303102016449,199,0,0.13683572729069646,13.0,4.450029447683141
29,2.1149914041161537,79,1,0.08706829064497859,14.0,4.53709773832812
30,-5.908946136274608,199,0,0.25343160064009296,14.0,4.790529338968213
31,27.117618817836046,199,0,0.11909487859693425,14.0,4.909624217565147
32,-60.36564713716507,68,1,1.0,15.0,5.909624217565147
33,-213.38706135749817,79,1,0.10976630049263454,16.0,6.019390518057782
34,3.10434465482831,80,1,0.07072147133861563,17.0,6.090111989396398
35,39.82462047023,199,0,0.13861115992736195,17.0,6.22872314932376
36,38.21456104516983,199,0,0.10532375690054921,17.0,6.33404690622431
37,-542.3913230895996,199,0,0.2255845344655583,17.0,6.559631440689868
38,14.811894625425339,172,1,0.083756107697718,18.0,6.643387548387586
39,19.024236857891083,199,0,0.1401205955008379,18.0,6.783508143888423
40,48.56705389916897,199,0,0.019573025993113672,18.0,6.803081169881537
41,-303.8978543281555,118,1,0.012654228134599483,19.0,6.815735398016137
42,45.75380668789148,199,0,0.029818522888662186,19.0,6.845553920904798
43,10.420322254300117,80,1,0.0006254043579104973,20.0,6.846179325262709
44,36.922856785357,199,0,0.07534917010390231,20.0,6.921528495366611
45,7.2032068600237835,199,0,0.15577950517701722,20.0,7.077308000543629
46,42.841296300292015,199,0,0.05161134025963417,20.0,7.128919340803263
47,0.5147538185119629,80,1,0.09089072567199688,21.0,7.21981006647526
48,31.1505632661283,199,0,0.0831628883073009,21.0,7.302972954782561
49,34.12243366241455,199,0,0.04163485873134663,21.0,7.344607813513908
50,-208.2796995639801,80,1,0.009746246146039018,22.0,7.354354059659947
51,6.28526571393013,80,1,0.024391556814192177,23.0,7.37874561647414
52,52.52513226866722,199,0,0.0013318362580127898,23.0,7.380077452732152
53,38.02887177467346,199,0,0.017098288778522916,23.0,7.397175741510675
54,1.772564023733139,86,1,0.11099419044578712,24.0,7.508169931956462
55,45.19144707918167,199,0,0.0424225588223594,24.0,7.550592490778821
56,36.40512269735336,199,0,0.061843839487144905,24.0,7.612436330265966
57,49.8982160538435,199,0,0.0,24.0,7.612436330265966
58,43.216650649905205,199,0,0.030673950421468466,24.0,7.643110280687435
59,41.41843166947365,199,0,0.025547141953678174,24.0,7.668657422641114
60,45.71216727793217,199,0,0.0010281397135507664,24.0,7.6696855623546645
61,41.3090378344059,199,0,0.0698296706911651,24.0,7.73951523304583
62,27.091293916106224,158,1,0.014601971577325368,25.0,7.754117204623155
63,44.14973944425583,199,0,0.0,25.0,7.754117204623155
64,23.885758593678474,145,1,0.008053389632370948,26.0,7.762170594255526
65,35.2136235833168,199,0,0.06287390221218134,26.0,7.825044496467707
66,35.29252205789089,199,0,0.029585464423135092,26.0,7.8546299608908425
67,8.128052145242691,105,1,0.08483208667683358,27.0,7.939462047567676
68,45.863717779517174,199,0,0.03512263155770558,27.0,7.974584679125382
69,9.094831347465515,80,1,0.0048724498306887635,28.0,7.979457128956071
70,11.675411135598551,199,0,0.14966011586862926,28.0,8.1291172448247
71,43.74345897138119,199,0,0.02244972798741599,28.0,8.151566972812116
72,-42.20466114580631,80,1,0.01727900231663387,29.0,8.16884597512875
73,5.658900231122971,80,1,0.04346055603028844,30.0,8.212306531159038
